"","genome2guild$guild","mat_trait$`mat_ori$id`","size","grassAmbDry1","grassAmbWet1","grassAmbDry2","grassAmbWet2","Average","grassRedDry1","grassRedWet1","grassRedDry2","grassRedWet2","Average.1","shrubAmbDry1","shrubAmbWet1","shrubAmbDry2","shrubAmbWet2","Average.2","shrubRedDry1","shrubRedWet1","shrubRedDry2","shrubRedWet2","Average.3"
"142","30","grassAmbWet2_bin.42.orig",4272397,0.506049,0.9705185,2.621986,10.739253,3.709451625,0.411912,0.7023545,1.159374,2.975038,1.312169625,1.523396,2.391899,3.404522,2.935179,2.563749,2.06571,2.02288,4.3234385,5.843873,3.563975375
"143","31","grassAmbWet2_bin.44.orig",553158,0,0.034491,0.1006505,5.768838,1.475994875,0.006751,0.020114,0.017732,0.02591,0.01762675,0.167588,0.576428,0.120042,0.503103,0.34179025,0.099809,0.041264,0.055053,0.366506,0.140658
"144","1","grassAmbWet2_bin.45.orig",4879912,0.786379,24.023631,2.576085,13.200252,10.14658675,0.382972,7.109254,5.314667,6.971997,4.9447225,1.000863,4.519286,1.347175,3.980394,2.7119295,0.884327,0.864376,2.044453,3.549578,1.8356835
"145","23","grassAmbWet2_bin.46.orig",2786676,1.320395,1.862005,3.70652,10.532324,4.355311,0.218902,0.981798,3.118815,8.808332,3.28196175,4.002308,2.085526,5.863886,5.829951,4.44541775,4.86104,3.393132,2.950757,6.115937,4.3302165
"146","2","grassAmbWet2_bin.47.orig",4375271,0.342573,0.534845,1.388881,2.001029,1.066832,0,0.076694,0.126826,0.260669,0.11604725,1.7625515,1.794869,1.905098,1.80164,1.816039625,1.034128,0.998281,0.8060435,0.971404,0.952464125
"147","2","grassAmbWet2_bin.49.orig",2452078,0.362058,2.114184,1.541892,2.128923,1.53676425,0.0990805,0.594267,0.925182,1.627945,0.811618625,0.554607,1.570402,0.896531,1.002595,1.00603375,1.005808,0.552555,0.899835,1.05931,0.879377
"148","9","grassAmbWet2_bin.5.orig",5154316,0.652739,2.099811,3.34436,3.042983,2.28497325,0,0.133575,0.319445,1.19017,0.4107975,1.352539,1.73338,1.614148,1.700227,1.6000735,1.014217,0.939332,1.918821,1.825529,1.42447475
"149","8","grassAmbWet2_bin.50.strict",4160694,0.069771,0.593532,0.289367,10.134466,2.771784,0,0.018219,0.025648,0.320562,0.09110725,0.244656,0.967667,0.766773,4.744207,1.68082575,0.177654,0.044528,0.224571,0.493469,0.2350555
"150","24","grassAmbWet2_bin.51.orig",6892599,0.088934,0.154525,0.233029,3.106223,0.89567775,0,0.020128,0.058046,0.241343,0.07987925,9.362949,3.655942,4.421631,4.012108,5.3631575,2.986335,1.706698,1.192644,2.245791,2.032867
"151","30","grassAmbWet2_bin.52.orig",6255063,2.288613,20.840075,60.861376,16.92398,25.228511,0.290444,0.649917,2.353511,4.297202,1.8977685,2.013044,3.84892,15.158685,3.145708,6.04158925,2.407559,10.94546,18.945457,5.438235,9.43417775
"152","27","grassAmbWet2_bin.53.orig",3977022,0.287482,0.460494,2.988797,7.793815,2.882647,0.057155,0.241293,0.345758,0.737448,0.3454135,3.792567,3.245184,3.435356,4.241855,3.6787405,2.777215,1.54671,1.854857,3.287895,2.36666925
"153","30","grassAmbWet2_bin.54.orig",2590563,2.14397,1.584414,4.485189,11.255979,4.867388,0.102321,0.304537,0.459696,0.831688,0.4245605,1.206784,1.324387,1.357289,3.424332,1.828198,1.146118,0.538861,0.744111,1.152627,0.89542925
"154","8","grassAmbWet2_bin.55.orig",3336872,0.071104,0.146292,0.264813,8.005915,2.122031,0,0.018605,0.023435,0.178012,0.055013,0.065204,0.378586,0.215148,1.231717,0.47266375,0.112735,0.017746,0.156711,0.988411,0.31890075
"155","15","grassAmbWet2_bin.57.orig",3614296,0.096976,0.638368,1.197812,3.511869,1.36125625,0,0.057594,0.227642,0.363118,0.1620885,0.093085,0.101856,0.140321,0.551029,0.22157275,0.099008,0,0.401128,1.50756,0.501924
"156","36","grassAmbWet2_bin.59.orig",3036929,1.18992,0.893844,2.026652,4.640322,2.1876845,3.890472,6.569698,5.704076,8.6129,6.1942865,0.994603,1.77852,2.197923,4.905566,2.469153,0.985528,0.668186,3.206136,2.784927,1.91119425
"157","8","grassAmbWet2_bin.6.orig",5816711,0.031748,0.111499,0.860805,5.404938,1.6022475,0.001621,0.009402,0.010312,0.039261,0.015149,0.174801,0.208901,0.906093,1.320704,0.65262475,0.229777,0.029742,0.430993,0.169369,0.21497025
"158","37","grassAmbWet2_bin.60.orig",3777459,0.108339,0.185233,0.908089,2.39384,0.89887525,0.036799,0,0.0703915,0.17288,0.070017625,2.134774,2.100044,1.5683185,0.4742345,1.56934275,3.0581545,3.044053,2.775508,1.3445125,2.555557
"159","15","grassAmbWet2_bin.61.strict",2914606,0.1524015,0.593075,1.8425545,2.868361,1.364098,0,0.065787,0.3170945,0.378794,0.190418875,0,0,0.1193145,0.307926,0.106810125,0,0,0.470024,0.648388,0.279603
"160","26","grassAmbWet2_bin.7.orig",3335355,0.831273,0.627832,1.59202,6.037494,2.27215475,0.642178,0.476961,0.906099,1.949165,0.99360075,0.729724,0.5617345,0.938011,0.916483,0.786488125,0.885039,0.762485,2.7129655,2.219644,1.645033375
"161","18","grassAmbWet2_bin.8.orig",4261624,0.506013,0.56173,1.353161,5.638627,2.01488275,0.008251,0.037915,0.073335,0.743363,0.215716,1.128032,1.423049,2.028335,3.055176,1.908648,2.294102,0.765823,1.46747,4.654522,2.29547925
"162","18","grassAmbWet2_bin.9.orig",3455789,0.218227,0.29949,1.741255,7.448485,2.42686425,0.024329,0.1403175,0.177681,0.513877,0.214051125,1.82519,1.385241,2.094552,2.618014,1.98074925,2.200412,1.033162,1.208975,4.039512,2.12051525
"163","11","grassRedDry1_bin.1.orig",2402276,27.877552,12.710043,2.241099,0.834705,10.91584975,15.28643,4.847283,1.783005,0.91505,5.707942,1.095661,1.222892,0.704894,0.608896,0.90808575,3.107294,5.990984,0.914194,1.119735,2.78305175
"164","8","grassRedDry1_bin.10.orig",2887973,0,0,0,0,0,1.965834,0.730321,1.193087,0.31659,1.051458,0,0,0,0,0,0,0,0,0,0
"165","21","grassRedDry1_bin.11.orig",4509783,0,0,0,0,0,2.68018,0,0,0,0.670045,0,0,0,0,0,0.21175,0,0,0,0.0529375
"166","24","grassRedDry1_bin.12.orig",2575162,0.3151,0.37541,0.406388,0.359843,0.36418525,1.59927,1.9994235,2.782045,2.100678,2.120354125,0.316385,0.184312,0.4254445,0.360842,0.321745875,0.498937,0.571584,0.538011,0.32981,0.4845855
"167","38","grassRedDry1_bin.13.permissive",3456815,0,0.697249,0,0,0.17431225,3.342401,1.02083,0.3356815,0.461432,1.290086125,0,0,0,0,0,0.420034,0.530588,0.2618845,0,0.303126625
"168","39","grassRedDry1_bin.14.orig",2802763,1.51073,0.753338,0.540781,0.342996,0.78696125,3.757882,2.5174705,1.559684,0.697378,2.133103625,0.555047,0.224744,0.55607,0.573293,0.4772885,0.996107,0.999188,0.4384,0.325314,0.68975225
"169","5","grassRedDry1_bin.15.orig",2750030,3.347234,4.512379,1.326286,0.606775,2.4481685,5.9958,4.777367,2.985249,1.087313,3.71143225,0.087321,0.056587,0.172454,0.13156,0.1119805,0.202529,0.497727,0.289939,0.278537,0.317183
"170","32","grassRedDry1_bin.16.orig",2640867,0.21493,0.529259,0.51663,0.357095,0.4044785,2.085339,2.08805,2.016278,1.264806,1.86361825,0.168298,0.154134,0.282008,0.216873,0.20532825,0.208505,0.392851,0.573554,0.375387,0.38757425
"171","34","grassRedDry1_bin.17.orig",3866439,0.087019,0.775678,0.092903,0.203114,0.2896785,7.330075,2.639138,0.427621,0.137357,2.63354775,0.779102,0.423573,0.124454,0.169316,0.37411125,0.104585,0.182802,0.288692,0.111107,0.1717965
"172","2","grassRedDry1_bin.18.strict",3113749,0.014012,0,0,0,0.003503,3.218937,0.538591,0.039357,0,0.94922125,0,0,0,0,0,0,0,0,0,0
"173","15","grassRedDry1_bin.19.strict",2708604,0.002779,0,0,0,0.00069475,6.095452,1.033044,0.053259,0,1.79543875,0,0,0,0,0,0,0,0,0,0
